KEY	VALUE	COMMENTS
__id	en
ui.crew-captain	<sprite name="ui player captain">
ui.copicon	<sprite name="ui pip cops">
ui.copicon.paidyes	<sprite name="ui cop paid">
ui.copicon.paidno	<sprite name="ui cop not paid">
ui.copicon.waiting	<sprite name="ui cop not paid"> <sprite name="ui clock">
ui.heatlevel	<sprite name="ui heat level 0">
ui.heatlevel.1	<sprite name="ui heat level 1">
ui.heatlevel.2	<sprite name="ui heat level 2">
ui.heatlevel.3	<sprite name="ui heat level 3">
ui.heatlevel.4	<sprite name="ui heat level 4">
ui.heatleveltext	Göze Batma Seviyesi: <i>hiç</i>
ui.heatlevelexpn	Burası şehrin sakin bir parçası, burada kimse kalıcı bir izlenim bırakmadı. Henüz.
ui.heatleveltext.1	Göze Batma Seviyesi: <i>neredeyse hiç</i>
ui.heatlevelexpn.1	Polisler bu köşede bazı şüpheli olaylar olduğunu duydu, ama pek ilgilenmiyorlar.
ui.heatleveltext.2	Göze Batma Seviyesi: <i>biraz</i>
ui.heatlevelexpn.2	Polisin etrafı kokladığı söyleniyor. Yakalanmamak için dikkatli olun.
ui.heatleveltext.3	Göze Batma Seviyesi: <i>yüksek</i>
ui.heatlevelexpn.3	Polis kesinlikle burada olanlarla ilgileniyor. Ödeme yapılmadığı sürece polis ziyaretlerini bekleyin.
ui.heatleveltext.4	Göze Batma Seviyesi: <i>aşırı yüksek</i>
ui.heatlevelexpn.4	Bu köşe olabildiğince sıcak. Parası ödenmedikçe, sık sık polis ziyaretlerini bekleyin.
ui.indays	{num} gün içinde
ui.indays.1	{num} gün içinde
ui.days	{num} gün
ui.days.1	{num} gün
ui.turns	{num} tur
ui.turns.1	{num} tur
ui.trade.sellonce	<sprite name="ui sell">
ui.trade.sellonce.text	Satmayı teklif et
ui.trade.sellonce.up-to	({qtyString}'e kadar sat)
ui.trade.sellonce.sales	Satış: {price}
ui.trade.buyonce	<sprite name="ui buy">
ui.trade.buyonce.text	Almayı teklif et
ui.trade.buyonce.up-to	({qtyString}'e kadar al)
ui.trade.buyonce.costvcash	Maliyet: {price}.   Mevcut Para: {cash}
ui.trade.buysell	<sprite name="ui buy sell">
ui.trade.delivery.sell	Planlanan siparişimize göre {resdesc} {bizdesc}'e satıldı.
ui.trade.delivery.sinfo	{status} {extra}\n\n{cash} aldık.
ui.trade.delivery.buy	Planlanan siparişimize göre {bizdesc}'den {resdesc} satın alındı.
ui.trade.delivery.binfo	{status} {extra}\n\nToplam Maliyet: {cash}.
ui.trade.transfer	Para transferi
ui.qty	{qty}
ui.percentage	{x}%
ui.amt-full	({percentage} full)
ui.trade.order.mo	Tek seferlik bir sipariş oluşturun
ui.trade.trade.mo	Yeterince iyi bir ilişkiniz olduğunu varsayarak tekrar eden bir sipariş oluşturun.
ui.trade.cancel.mo	Bu siparişi iptal et
ui.itempicker.one-time.buy	Tek seferlik satın al
ui.itempicker.one-time.sell	Tek seferlik satış yap
ui.itempicker.biz-stock	Stokta
ui.itempicker.offer	Teklif ediyorsun
ui.itempicker.car-inv	Araba envanteriniz
ui.moneypicker.money-header	Arabanızla Kumarhane arasında parayı taşıyın
ui.moneypicker.building-inventory	Binadaki nakit para
ui.moneypicker.vehicle-inventory	Arabanızdaki nakit para
ui.volume	Hacim: {vol}
ui.volume.ft3	{num} ft³
ui.volume.m3	{num} m³
ui.arrowpick.icon.mo	Teslimat: {icon}
ui.arrowpick.no-icon.mo	Teslimat
ui.moneypos	${amt}
ui.moneyneg	-${amt}
ui.numpos	+{num}
ui.numneg	-{num}
ui.list.1	{0}
ui.list.2	{0} ve {1}
ui.list	{0}, {rest}
ui.value.prop-none	{name}: 0
ui.value.rising	({toval}'a yükselen)
ui.value.falling	({toval}'a düşen)
ui.value.indented	{value}<indent=40>{msg}</indent>
ui.value.from	{fromval} {arrow}  {difference}
ui.resource.line-a-b	{a} {b}
ui.resource.line-ax-b	{a}x {b}
ui.resource.line-a-b-c	{a} {b} {c}
ui.resource.line-ax-b-c	{a}x {b} {c}
ui.resource.line-a-at-b	{a} @ {b} each
ui.resource.is-illegal	\n\n<i>Yasadışı kaynak</i>
ui.every-x-days.1	her gün
ui.every-x-days	every {num} gün
ui.in-x-days.1	1 gün içinde
ui.in-x-days	{num} gün içinde
ui.init.loading	Oyun Yükleniyor: {cityname}
ui.init.mapgen	Harita Yükleniyor: {cityname}
ui.init.citygen	Şehir Nüfusu Yükleniyor: {cityname}, {year}
ui.init.final	Tamamlanıyor...
ui.init.alphabeta	Bir hata mı gördünüz? Onu rapor edin! Oyundayken F1 tuşuna basın.
ui.hud.dateturn	{date}  (Tur #{turn})
ui.hud.nextturn	SONRAKİ TUR
ui.hud.player	AI: {percent}
ui.hud.money-turn	{money}   <size=75%>(Bu tur kazanılan: {deltaString})</size>
ui.hud.money-turn-short	{money}   <size=75%>{deltaString}</size>
ui.hud.saving.up	<sprite name="ui clock"> OYUN KAYDEDİLİYOR...
ui.hud.writing.up	<sprite name="ui clock"> DİSKE YAZILIYOR...
ui.hud.saving	Kaydediliyor, lütfen bekleyin...
ui.hud.peeps	<sprite name="ui peep">: {num}/{max}
ui.hud.cars	<sprite name="ui car">: {num}/{max}
ui.hud.trucks	<sprite name="ui truck">: {num}/{max}
ui.hud.corners	<sprite name="ui corner"> : {num}
ui.hud.peeps.mo	Mürettebat kapasitesi: {max} veya daha az\nMürettebat sayısı bölgenizin büyüklüğüne bağlıdır.\n\n{açıklama}
ui.hud.cars.mo	Binek araç limiti: {max} veya daha az\nAraç kapasitesi, mürettebat büyüklüğüne ve mevcut park yerine bağlıdır.\n\n{açıklama}
ui.hud.trucks.mo	Kargo aracı limiti: {max} veya daha az\nKamyon kapasitesi becerilere ve mevcut park yerine bağlıdır.\n\n{açıklama}
ui.hud.corners.mo	Kontrolünüz altındaki bloklar: {num}
ui.hud.unknown	<b>{name}</b>\n{desc}\n\n{footer}
ui.hud.unknown.resname	Bilinmeyen konut
ui.hud.unknown.bizname	Bilinmeyen işyeri
ui.hud.unknown.civicname	Bilinmeyen bina
ui.hud.unknown.notexplored	Bu alan henüz keşfedilmedi. Kontrol etmesi için ekibinizden birini gönderin!
ui.hud.known.resfooter.1	Posta kutusundaki isim: {names}
ui.hud.known.resfooter	Posta kutularındaki isimler: {names}
ui.hud.known.resfooter.many	Posta kutularındaki adlar şunları içerir: {names} ve daha fazlası
ui.hud.known.bizsmall	Sadece başka bir küçük işletme, şehirdeki pek çoğu gibi. Orada neler olduğunu bilmiyorsun.
ui.hud.known.bizlarge	Etkileyici görünümlü bir bina. Orada neler olduğunu bilmiyorsun.
ui.rename.title	<b>Ün Kazanmak</b>
ui.rename.header.you	Bu parçalar etrafında oldukça itibar kazanıyorsunuz! İnsanların sizi tanıyacağı bir sokak adı seçebilirsiniz:
ui.rename.header.m	Mürettebat üyeniz {name} bu parçalarda oldukça itibar kazanıyor! Onun için bundan sonra kullanılacak uygun bir sokak adı seçebilirsiniz:
ui.rename.header.f	Mürettebat üyeniz {name} bu parçalar etrafında oldukça itibar kazanıyor! Onun için bundan sonra kullanılacak uygun bir sokak adı seçebilirsiniz:
ui.rename.example-nickname	Yaralı surat
ui.rename.describe	İsim, mürettebat listenizde:\n<align=center><b>{longname}</b></align>\nveya "{shortname}" şeklinde görüntülenecektir.
ui.rename.footer	Lütfen cadde adını dikkatlice düşünün, yalnızca bir kez atanabilir. Ayrıca reddedebilir ve verilen adınızla kalabilirsiniz.
ui.name.simple	{title} {first} {last}
ui.name.nicklong	{title} {first} "{nickname}" {last}
ui.name.nickshort	{title} {nickname} {last}
ui.name.title-cops	Polis memuru
ui.name.title-feds	Ajan
ui.vehicle-cond.good	İyi
ui.vehicle-cond.clunker	Kabul Edilebilir
ui.vehicle-cond.junk	Kullanılamaz
						 
ui.vehicle-cexp.good	İyi Durumda
ui.vehicle-cexp.clunker	Kabul Edilebilir Durumda
ui.vehicle-cexp.junk	Kullanılamaz Durumda
								   
ui.convo.person.mo	Sahip bilgilerini göster
ui.convo.biz.mo	İşletme bilgilerini göster
ui.convo.rel.mo	İlişki bilgilerini göster
ui.personinfo.mouseover	{name}\n\n{ethAndAge}\n\n{workplace}
ui.personinfo.mouseover.short	{name}\n{workplace}\n{details}
ui.personinfo.infostring	{name} {ifDead} ({eth}, b. {born})
ui.personinfo.infostring.short	{reltoyou}. {age}. {eth}.
ui.personinfo.age-eth	{age}. {eth}.
ui.personinfo.crew.you	Bu ekibin patronu sizsiniz.
ui.personinfo.crew.peep	{name} mürettebatınıza ait.
ui.personinfo.crew.action	Mevcut aktivite: {action}
ui.personinfo.crew.skills	Paylaşılan beceriler: {num} <sprite name="ui skills">
ui.personinfo.crew.skills.1	Paylaşılan beceriler: {num} <sprite name="ui skills">
ui.personinfo.crew.skills.mo	Bu beceriler, tüm mürettebat üyeleriniz tarafından paylaşılır.\nDaha fazla bilgi edinmek için "mürettebat becerileri" raporunu görüntüleyin.\n
ui.personinfo.crew.levelups	New <sprite name="ui level up"> Yeni tecrübe mevcut!
ui.personinfo.crew.levelups.mo	Mürettebat üyeleri yaptıkları görevlerden tecrübe kazanırlar.
ui.personinfo.conn.yours	Bağlantılarınız:
ui.personinfo.conn.common	Ortak noktalarınız:
ui.personinfo.skill.oneline	·<indent=15>{item}</indent>
ui.personinfo.goto.mo	Konuma git
ui.personinfo.traits-header	Kişisel özellikler:
ui.personinfo.trait	·<indent=15>{traitname}</indent>
ui.personinfo.trait.details	·<indent=15><b>{traitname}</b> <i>({traitdesc})</i></indent>
ui.personinfo.trait.icons	Kişisel Özellikler: <size=125%>{icons}</size>
ui.personinfo.levelups.header	<b>{name}</b>\nHangi yeteneğin geliştirileceğini seçin:
ui.personinfo.levelups-none	Tecrübe: Henüz yok
ui.personinfo.levelups.oneline	·<indent=15>{levelup}</indent>
ui.personinfo.levelups.details	·<indent=15>{levelup}\n<i>{details}</i></indent>
ui.personinfo.levelups.ticker	{name} tüm sıkı çalışmalardan tecrübe kazandı.\n\nGeliştirmesi gereken yetenekleri seçin.
ui.personinfo.levelups.available	<b>{name}</b> - {num}\n{desc} düzeyine yükseltin
ui.personinfo.levelups.icons.0	Tecrübe: Henüz yok
ui.personinfo.levelups.icons	Tecrübe: {icons}
ui.personinfo.filter.header	Filtre:
ui.personinfo.filter.everyone	Tüm paylaşılan bağlantılar
ui.personinfo.filter.family	Bilinen tüm aile üyeleri
ui.personinfo.filter.friends	Bilinen tüm tanıdıklar
ui.personinfo.filter.gangs	Çete üyeleri
ui.personinfo.filter.goons	Sorun çıkaranlar
ui.personinfo.filter.cops	Polis ve federal ajanlar
ui.personinfo.unemployed	İşsiz
ui.personinfo.age	{years} yaşında
ui.personinfo.dead	Ölü
ui.personinfo.status.defiant	Talep durumu: <i>Meydan okuyan</i>
ui.personinfo.status.compliant	Talep durumu: <i>Uysal</i>
ui.personinfo.occ.none	İstihdam edilmedi
ui.personinfo.occ.unk	Meslek bilinmiyor
ui.personinfo.occ.info	Çalıştığı yer: {bizname}
ui.personinfo.selected.human	Ekip
ui.personinfo.selected.not-human	Çalışanın:
ui.personinfo.selected.goon	Yerel baş belası
ui.personinfo.selected.opp.boss	patronu
ui.personinfo.selected.opp.goon	için çalışır
ui.personinfo.selected.unknown	Tanımadığınız biri için çalışıyor
ui.personinfo.rel-exp.opinion	<b>Sizin hakkındaki görüşleri: {rating} puan</b>
ui.personinfo.rel-exp.none	<b>Sizin hakkındaki görüşleri: yok</b>
ui.personinfo.action-string.idle	Boşta
ui.personinfo.action-string.driving	Sürüyor
ui.personinfo.action-string.busy	Meşgul
ui.personinfo.selected.compose	{prefix}: {groupname} {compliance}
ui.personinfo.dialog.header	<size=150%>{name}</size>\n{workplace}\n{details}
ui.stationinfo.header	{groupname}\n{precinct}
ui.stationinfo.loc	Konum:\n{cornerinfo}
ui.stationinfo.status.coop	Durum:\nİşbirliği yapıyor
ui.stationinfo.status.noop	Durum:\İşbirliği yapmıyor
ui.stationinfo.officers	Görevli memurlar:
ui.stationinfo.officers.card.influenced	\n<i>(Senin Nüfuzun Altında)</i>
ui.stationinfo.officers.card.name	{name} {influenced}
ui.icon.movement	<sprite name="ui movement pts">
ui.icon.actions	<sprite name="ui action pts">
ui.icon.health	<sprite name="ui health">
ui.icon.car	<sprite name="ui car">
ui.icon.weapon	<sprite name="res cat weapons">
ui.icon.tire	<sprite name="ui tire">
ui.combine.icon-and-name	{icon} {name}
ui.combine.icon-name-and-units	{icon} {name}: {qtyunits}
ui.combine.icon-and-desc	{icon}<indent=30>{desc}</indent>
ui.xp	<sprite name="xp general">
ui.xp.num	{num} <sprite name="xp general">
ui.xp.plus	<sprite name="ui level up"><sprite name="ui xp arrow">
ui.conn	<sprite name="ui pip social">
ui.conn.num	{num} <sprite name="ui pip social">
ui.conn.qmark	<sprite name="ui pip social">
ui.movementcost	<size=75%>{num} <sprite name="ui movement pts"></size>
ui.movementcost.fail	YETERSİZ\n<sprite name="ui movement pts"> HAREKET PUANI
ui.actioncost.fail	YETERSİZ\n<sprite name="ui action pts"> EYLEM PUANI
ui.playerskills.learned	Mürettebatınız yeni bir beceri öğrendi: <b>{name}</b>\n\n{desc}\n\nMürettebatınızdaki herkes artık bu yeni bilgiden yararlanabilir.
ui.playerskills.resource	Yeni bir kaynak hakkında bilgi aldınız!\n\n{name}: {desc}\n\nHalihazırda bildiğiniz veya henüz keşfedilmemiş olan bazı işletmeler bu kaynakla ilgilenebilir.
ui.crewlistinfo.header	Ekip Bilgileri
ui.crewlistinfo.desc	Daha fazla bilgi için bir isime tıklayın
ui.crewlistinfo.current	Mevcut ekip
ui.crewlistinfo.past	Eski ekip
ui.crewlistinfo.potential	Ekibinize katılmak isteyen kişiler
ui.crewlistinfo.tmpl.current	{name}
ui.crewlistinfo.tmpl.past	{name} <size=80%>(Deceased)</size>
ui.crewlistinfo.tmpl.potential	{name}\n<size=80%>Ekibinle ilgileniyor</size>
ui.crewlistinfo.desc.header	<size=150%>{name}</size>\n{workplace}\n{details}
ui.crewlistinfo.desc.current	Mevcut maaş: {money} tur başına.\n{details}
ui.crewlistinfo.desc.past	Bu mürettebat üyesi {year} içinde öldü.\nAile desteği ödemeleri: tur başına {money}.
ui.crewlistinfo.desc.potential	{firstname} iş arıyor. Ekibinizi genişletmekle ilgileniyorsanız, bir tanıtım almak için {friendname} ile konuşun.
ui.crewlistinfo.desc.details	{traits}\n\n{levelups}
ui.crewlistinfo.with-trait	Özellik:
ui.crewlistinfo.any-trait	Herhangi
ui.crewinfo.manage.mo	Ekibi yönet
ui.crewinfo.peep.mo	Bu ekip üyesi hakkında\ndaha fazla bilgi alın
ui.crewinfo.corner.mo	Bu blok hakkında \ndaha fazla bilgi edinin
ui.crewinfo.goto.mo	Görünümü bu bloğa odakla
ui.crewinfo.vehicle.mo	Araçlarınızdan birine atayın \nveya binalarınızı yönetin
ui.crewinfo.automate.mo	Teslimat rotasını düzenle
ui.crewinfo.name	<b>{name}</b>
ui.crewinfo.namedead	{name}
ui.crewinfo.descdead	<i>Ölü</i>
ui.crewinfo.descaction	<i>{action}</i>
ui.crewinfo.descpoints	<sprite name="ui action pts"> {actions}  <sprite name="ui movement pts"> {movements}
ui.crewinfo.pickone	Konuşmak için birini seçin.
ui.crewinfo.pickone.safehouse	Bu güvenli evle etkileşime girecek birini seçin.
ui.crewinfo.pickone.biz	Bu işletmeyle konuşmak için birini seçin.
ui.crewinfo.newhire	New crew member: {name}.\n\nYeni mürettebat üyeniz güvenli evinize giriş yaptı, hevesle emirleri bekliyor.
ui.crewinfo.edit-button.mo Girişleri yeniden düzenle
ui.crewinfo.edit-card.mo Taşımak için bu girdiye tıklayın
ui.crewinfo.module	{name}
ui.crewinfo.nomodule	<i>İşlem yok</i>
ui.crewinfo.manager	<b>{name}</b>, mngr.
ui.crewinfo.nomanager.desc	Yönetici yok
ui.crewinfo.nomanager.gambling	<sprite name="ui gambling unfunded"> Yönetici yok
ui.crewinfo.building.mo	<b>{bizname}</b>\nİşletme: {opname}\nManager: {peepname}
ui.crewinfo.building.mo.none	none	;; e.g. "Yönetici: Yok" or "Operation: Yok"
ui.crewinfo.building.mo.nooperation	\n\nİşlem yok. Bu binaya bir arka oda işletmesi kurabilirsiniz.
ui.crewinfo.building.mo.nomanager	\n\nYönetici yok. Mürettebat üyelerinizden birini bu binayı yönetmesi için atayın.
ui.crewinfo.building.mo.resultcash	<sprite name="ui arr big right"> <sprite name="res cash">
ui.crewinfo.building.mo.resultres	<sprite name="ui arr big right">
ui.crewinfo.building.mo.cycletime	/nher {consumeDays} günde bir ({consumeTurns} tur)
ui.crewinfo.building.mo.cycletime-with-progress \niçinde her {consumeDays} günde bir ({consumeTurns} tur). {percentage} tamamlandı.
ui.crewinfo.building.mo.buildtime	Yapım aşamasında\n{daysleft} gün daha ({turnsleft} tur)
ui.crewinfo.desc-idle	Atanmamış
ui.crewinfo.desc-manager	{bizname}
ui.crewinfo.desc-arrested	Tutuklandı, {date} tarihinde yargılanmayı bekliyor
ui.crewinfo.desc-imprisoned	{date} tarihine kadar federal hapishanede
ui.crewinfo.name-and-group	\n<size=80%>{group}</size>
ui.crewinfo.vehicle.describe	\n\n{inventory}
ui.crewlist.header.currmax	Mürettebatınız ({current}/{max}):
ui.crewinfo.delivery-manage	YÖNET <sprite name="ui delivery route">
ui.crewinfo.delivery-setup	<align=center><i>Yeni bir teslimat ayarlamak için tıklayın</i></align>
ui.crewinfo.delivery-noassign	Atanan kimse yok
ui.crewinfo.crewtype.muscle	Gangsterler
ui.crewinfo.crewtype.building	Binalar
ui.crewinfo.crewtype.deliveries	Teslimatlar
ui.crewinfo.crewtype.none-crew	Atanmamış Mürettebatlar
ui.crewinfo.crewtype.none-vehicle	Atanmamış Araçlar
ui.crewinfo.act-cost.move	Maliyetler {cost} <sprite name="ui action pts"> eylem puanı
ui.crewinfo.act-cost.action	Maliyetler {cost} <sprite name="ui movement pts"> hareket puanı
ui.crewinfo.popup.mgmt	Mürettebat Yönetimi
ui.crewinfo.mo-action-pts	<sprite name="ui action pts"> eylem puanı
ui.crewinfo.mo-movement-pts	<sprite name="ui movement pts"> hareket puanı
ui.crewinfo.mo-remaining	Bu tur kalan:\n<indent=10><b>{actionLeft}</b> {actionPtsLabel}</indent>\n<indent=10><b>{movementLeft}</b> {movementPtsLabel}</indent>\n\n
ui.crewinfo.mo-generated	Sonraki turda kazanılan:
ui.crewinfo.mo-line	<indent=10>{points} {label}</indent>
ui.crewinfo.mo-arrested	{name} federal hapishanede yargılanmayı bekliyor! \nEğer <b>Polis departmanında arkadaşlarınız varsa</b>\nonları dışarı çıkarabilirler.\n\n
ui.crewinfo.veh-desc	Onarım bölmeleri ve/veya park yerleri içerir
ui.crewmgmt.icon-building	<sprite name="ui pip social expansion" tint=1>
ui.crewmgmt.icon-vehicle	<sprite name="ui truck" tint=1>
ui.crewmgmt.icon-crew	<sprite name="ui peep" tint=1>
ui.crewmgmt.button-add-disabled.mo	Şu anda atanamıyor
ui.crewmgmt.button-already-added.mo	Zaten atanmış
ui.crewmgmt.button-added-to.mo	Atanan: {name}
ui.crewmgmt.button-building-add.mo	Binaya ata
ui.crewmgmt.button-building-remove.mo	Binadan kaldır
ui.crewmgmt.button-buildings-none.mo	Tüm binalar mürettebat üyelerinize atandı
ui.crewmgmt.button-buildings-boss.mo	Bir binayı yönetmek için ekip patronu atanamaz
ui.crewmgmt.button-vehicle-add.mo	Araca bin
ui.crewmgmt.button-vehicle-remove.mo	Araçtan in
ui.crewmgmt.button-vehicles-none.mo	Tüm araçlar mürettebat üyelerinize atandı
ui.crewmgmt.assignments	Mevcut araç ve bina atamaları:
ui.crewmgmt.no-driver	<i>Sürücü atanmadı</i>
ui.crewmgmt.no-manager	<i>Yönetici atanmadı</i>
ui.crewmgmt.driver	Atanan kişi: <i>{name}</i>
ui.crewmgmt.manager	Yönetici: <i>{name}</i>
ui.crewmgmt.select-vehicle	Atanacak aracı seçin:
ui.crewmgmt.select-building	Atanacak binayı seçin:
ui.crewmgmt.unassigned	{crewname} hiçbir işe atanmamış! Bedavadan maaş alıyor, bu yüzden sağdaki düğmeleri kullanarak onlara atama yapmayı düşünün.
ui.crewmgmt.invehicle	{crewname} bir araca atanabilir ve şehirdeki çeşitli işler için kullanılabilir.
ui.crewmgmt.inbuilding	{crewname} şu binayı yönetmekle görevlendirildi: {bizicon} <b>{bizname}</b>.
ui.crewmgmt.deadother	{crewname} öldü. Aileye destek <i>ödemiyorsunuz</i>.
ui.crewmgmt.deadpaid	{crewname} öldü. Şu anda aileye destek olarak tur başına {amt} ödüyorsunuz.
ui.crewmgmt.arrested	{crewname} federal ajanlar tarafından tutuklandı ve {date} tarihinde yargılanmayı bekliyor.
ui.crewmgmt.imprisoned	{crewname} federal bir cezaevine gönderildi ve {date} tarihinde serbest bırakılacak.
ui.crewmgmt.growth.rel	{friendName} ile ilişki: {relText}
ui.crewmgmt.growth.is-family	<i>(Aile üyelerine yardım ederseniz memnun olabilirler.)</i>
ui.resdestroy.mo	Envanterin bir kısmını atın
ui.resdestroy.header	Envanteri Atın
ui.resdestroy.top	Envanterinizdeki şu öğeleri atmak üzeresiniz: {res}\n\nHangi miktarı atmak istiyorsunuz?
ui.resdestroy.bottom	Bu öğeler atılacak ve bunlar için size tazminat ödenmeyecektir. Daha sonra bu binada {res} depolanmış olacak.
ui.resdestroy.plusminus.mo	10 değer değiştirmek için <b>ctrl</b> tuşunu basılı tutun.\n100 değer değiştirmek için <b>shift</b> tuşunu basılı tutun.\n1000 değer değiştirmek için <b>ctrl + shift</b> tuşunu basılı tutun.
ui.deliveries.stop-job.mo	Bu teslimatı durdur
ui.deliveries.start-job.mo	Bu teslimatı başlat\n\nEn az iki adım, bir sürücü,\nve iyi durumda bir araç gerektirir.
ui.deliveries.no-crew.mo	Mürettebat atamasını kaldır
ui.deliveries.clear-steps.mo	Bu programdaki tüm durakları kaldır
ui.deliveries.delete-job.mo	Bu teslimat planını yok et
ui.deliveries.select.mo	Teslimat sürücüsünü ve aracı seçin:
ui.deliveries.cash.mo	Nakit
ui.deliveries.crewassign.novehicle	Eksik araç
ui.deliveries.crewassign.busy	Zaten atanmış
ui.deliveries.crewassign.valid	Seç
ui.deliveries.select	Seç
ui.deliveries.add	Sonraki Adımı Ekle
ui.deliveries.header.no-driver	Bir sürücü atayın
ui.deliveries.header.no-vehicle	Bir araç atayın
ui.deliveries.status.running	Durum: ÇALIŞIYOR
ui.deliveries.status.stopped-junk	Durum: DURDURULDU (aracın durumu nedeniyle)
ui.deliveries.status.broken	Durum: DURDURULDU
ui.deliveries.undefined	Tanımlanmamış
ui.deliveries.next-step-empty	<sprite name="ui cross"> Rotadaki bir sonraki adımı seçin.
ui.deliveries.biz-name	<b>{bizname}</b>. 
ui.deliveries.biz-name.1	<b>{bizname}</b>\n
ui.deliveries.action-empty	\nİşlem seçilmedi
ui.deliveries.route-no	Teslimat Rotası #{id}
ui.deliveries.step-no	Adım #{stepNo}: {desc}
ui.deliveries.actions.buy	Al
ui.deliveries.actions.sell	Sat
ui.deliveries.actions.pickup	Topla
ui.deliveries.actions.dropoff	Bırak
ui.deliveries.actions.cash-on-hand	Elinizin altında nakit olmasını sağlayın
ui.deliveries.actions.collect-front	Cephenizden toplayın veya destekleyin
ui.deliveries.actions.bottle-pickup	Şişe iadesini toplayın
ui.deliveries.actions.repair-vehicle	Aracınızı onarın
ui.deliveries.actions.mo.buy	Kaynak satın al
ui.deliveries.actions.mo.sell	Kaynakları sat
ui.deliveries.actions.mo.pickup	Depolama alanı
ui.deliveries.actions.mo.dropoff	Depolama düşüşü
ui.deliveries.actions.mo.cash-on-hand	Elinizin altında nakit olmasını sağlayın
ui.deliveries.actions.mo.collect-front	Bir cepheden toplayın veya bir cepheyi destekleyin
ui.deliveries.actions.bottle-pickup	Şişe iadesini toplayın
ui.deliveries.actions.repair-vehicle	Aracınızı onarın
ui.deliveries.actions.collect-front.desc	{bizname} ({peepname} tarafından işletiliyor)
ui.deliveries.cash.agreed	anlaşılan miktar, eğer hazırsa
ui.deliveries.cash.all-available	mevcut tüm nakit
ui.deliveries.cash.exact	tam olarak {miktar}
ui.deliveries.cash.up-to	{miktar}'a kadar
ui.deliveries.cash.excess	{miktar} hariç hepsi
ui.deliveries.cash.ensure	{target} {quantity} olana kadar
ui.deliveries.confirm.clear-steps	Bu programdaki tüm teslim adımlarını silmek istiyor musunuz?
ui.deliveries.confirm.clear	Bu teslimat planının tamamını silmek istiyor musunuz?
ui.deliveries.res.max-possible	{icon&name}, mümkün olduğunca
ui.deliveries.res.up-to	{icon&name}, en fazla {quantity}
ui.deliveries.res.excess	{icon&name} {quantity} hariç tümü
ui.deliveries.res.ensure	{target} {quantity} olana kadar {icon&name}
ui.deliveries.action-qty	{action}: {qtyres}
ui.deliveries.res.max-possible.1	{icon&name}\nmümkün olduğunca
ui.deliveries.res.up-to.1	{icon&name}\n{quantity}'e kadar
ui.deliveries.res.excess.1	{icon&name}\n{quantity} hariç tümü
ui.deliveries.res.ensure.1	{icon&name}\n,{target} {quantity} olana kadar
