Code journal;Date;N° Pièce;Désignation;Montant Net;Montant Brut;Compte;Compte;Taxe;Expiration
VE;18012025;F25-00719;Facture PRO INTER (MUTZIG);165.66;0;;4457151;;05022025
VE;18012025;F25-00720;Facture PRODOR ST-AVOLD;0;603.46;411PRO012;4110000;;18012025
VE;18012025;F25-00720;Facture PRODOR ST-AVOLD;572;0;;7070000;;18012025
VE;18012025;F25-00720;Facture PRODOR ST-AVOLD;31.46;0;;4457151;;18012025
VE;18012025;F25-00721;Facture EXPLOITATION DES ETS ROUIZI;0;2637.61;411ROUIZZI;4110000;;05022025
VE;18012025;F25-00721;Facture EXPLOITATION DES ETS ROUIZI;2500.1;0;;7070000;;05022025
VE;18012025;F25-00721;Facture EXPLOITATION DES ETS ROUIZI;137.51;0;;4457151;;05022025
VE;18012025;F25-00722;Facture SALON D'ORIENT;0;568.12;411SALONDO;4110000;;02022025
VE;18012025;F25-00722;Facture SALON D'ORIENT;538.5;0;;7070000;;02022025
VE;18012025;F25-00722;Facture SALON D'ORIENT;29.62;0;;4457151;;02022025
VE;18012025;F25-00723;Facture T.V.B BOUCHERIE;0;709.8;411TVB;4110000;;08022025
VE;18012025;F25-00723;Facture T.V.B BOUCHERIE;672.8;0;;7070000;;08022025
VE;18012025;F25-00723;Facture T.V.B BOUCHERIE;37;0;;4457151;;08022025
VE;18012025;F25-00724;Facture AKSARAY SARL;0;1421.69;411AKS001;4110000;;05022025
VE;18012025;F25-00724;Facture AKSARAY SARL;1347.57;0;;7070000;;05022025
VE;18012025;F25-00724;Facture AKSARAY SARL;74.12;0;;4457151;;05022025
VE;18012025;F25-00725;Facture EL GAMAH BOUCHERIE;0;1383.12;411BOU022;4110000;;05022025
VE;18012025;F25-00725;Facture EL GAMAH BOUCHERIE;1311.01;0;;7070000;;05022025
VE;18012025;F25-00725;Facture EL GAMAH BOUCHERIE;72.11;0;;4457151;;05022025
VE;18012025;F25-00726;Facture ESSALAM BOUCHERIE;0;14629.03;411ESSELAM;4110000;;05022025
VE;18012025;F25-00726;Facture ESSALAM BOUCHERIE;13866.38;0;;7070000;;05022025
VE;18012025;F25-00726;Facture ESSALAM BOUCHERIE;762.65;0;;4457151;;05022025
VE;18012025;F25-00727;Facture BOUCHERIE ROLAM BOUZANA  (ROLAMALLAH Khelifa);0;1005.09;411ROLA2;4110000;;28012025
VE;18012025;F25-00727;Facture BOUCHERIE ROLAM BOUZANA  (ROLAMALLAH Khelifa);952.69;0;;7070000;;28012025
VE;18012025;F25-00727;Facture BOUCHERIE ROLAM BOUZANA  (ROLAMALLAH Khelifa);52.4;0;;4457151;;28012025
VE;18012025;F25-00728;Facture OUAHMAN PERE ET FILS;0;3202.78;411OUAHM;4110000;;05022025
VE;18012025;F25-00728;Facture OUAHMAN PERE ET FILS;3035.81;0;;7070000;;05022025
VE;18012025;F25-00728;Facture OUAHMAN PERE ET FILS;166.97;0;;4457151;;05022025
VE;18012025;F25-00729;Facture PRODOR DISTRIBUTION;0;7767.35;411PRO0019;4110000;;08022025
VE;18012025;F25-00729;Facture PRODOR DISTRIBUTION;7362.42;0;;7070000;;08022025
VE;18012025;F25-00729;Facture PRODOR DISTRIBUTION;404.93;0;;4457151;;08022025
VE;18012025;F25-00730;Facture GULLU MARKET COLMAR;0;3222.85;411GULLU;4110000;;08022025
VE;18012025;F25-00730;Facture GULLU MARKET COLMAR;3054.83;0;;7070000;;08022025
VE;18012025;F25-00730;Facture GULLU MARKET COLMAR;168.02;0;;4457151;;08022025
VE;18012025;F25-00731;Facture SUPERMARCHE DES VOSGES EPINAL;0;8003.75;411SUP012;4110000;;05022025
VE;18012025;F25-00731;Facture SUPERMARCHE DES VOSGES EPINAL;7586.49;0;;7070000;;05022025
VE;18012025;F25-00731;Facture SUPERMARCHE DES VOSGES EPINAL;417.26;0;;4457151;;05022025
VE;18012025;F25-00732;Facture EL FERDAOUSS ROTISSERIE;0;1220;411ELFER;4110000;;02022025
VE;18012025;F25-00732;Facture EL FERDAOUSS ROTISSERIE;1156.4;0;;7070000;;02022025
VE;18012025;F25-00732;Facture EL FERDAOUSS ROTISSERIE;63.6;0;;4457151;;02022025
VE;18012025;F25-00733;Facture ECO MARKET SARA SARL;0;6951.26;411ECO25;4110000;;05022025
VE;18012025;F25-00733;Facture ECO MARKET SARA SARL;6588.87;0;;7070000;;05022025
VE;18012025;F25-00733;Facture ECO MARKET SARA SARL;362.39;0;;4457151;;05022025
VE;18012025;F25-00734;Facture BAYMAR BOUCHERIE;0;1933.5;411BAYMAR;4110000;;07022025
VE;18012025;F25-00734;Facture BAYMAR BOUCHERIE;1832.7;0;;7070000;;07022025
VE;18012025;F25-00734;Facture BAYMAR BOUCHERIE;100.8;0;;4457151;;07022025
VE;18012025;F25-00735;Facture ESSAHLI MIMOUN ET FILS;0;6256.89;411ESSAHLI;4110000;;01022025
VE;18012025;F25-00735;Facture ESSAHLI MIMOUN ET FILS;5930.7;0;;7070000;;01022025
VE;18012025;F25-00735;Facture ESSAHLI MIMOUN ET FILS;326.19;0;;4457151;;01022025
VE;18012025;F25-00736;Facture GOL MARKET;0;380.79;411GOLMAR;4110000;;02022025
VE;18012025;F25-00736;Facture GOL MARKET;380.79;0;;7079120;;02022025
VE;18012025;F25-00737;Facture TADIM MARCHE;0;1204.81;411TADIM;4110000;;05022025
VE;18012025;F25-00737;Facture TADIM MARCHE;1142;0;;7070000;;05022025
VE;18012025;F25-00737;Facture TADIM MARCHE;62.81;0;;4457151;;05022025
VE;18012025;F25-00738;Facture EPICERIE DE LA CIGOGNE;0;2928.96;411CIGOG;4110000;;05022025
VE;18012025;F25-00738;Facture EPICERIE DE LA CIGOGNE;2776.27;0;;7070000;;05022025
VE;18012025;F25-00738;Facture EPICERIE DE LA CIGOGNE;152.69;0;;4457151;;05022025
VE;18012025;F25-00739;Facture ISTANBUL MARKET (SAINT LOUIS);0;5496.87;411ISTA68;4110000;;05022025
VE;18012025;F25-00739;Facture ISTANBUL MARKET (SAINT LOUIS);5210.3;0;;7070000;;05022025
VE;18012025;F25-00739;Facture ISTANBUL MARKET (SAINT LOUIS);286.57;0;;4457151;;05022025
VE;18012025;F25-00740;Facture FU LE LAI;0;300.68;411FU0001;4110000;;05022025
VE;18012025;F25-00740;Facture FU LE LAI;285;0;;7070000;;05022025
VE;18012025;F25-00740;Facture FU LE LAI;15.68;0;;4457151;;05022025
VE;18012025;F25-00741;Facture RAHMA BOUCHERIE;0;4082.91;411RAHMA;4110000;;05022025
VE;18012025;F25-00741;Facture RAHMA BOUCHERIE;3870.06;0;;7070000;;05022025
VE;18012025;F25-00741;Facture RAHMA BOUCHERIE;212.85;0;;4457151;;05022025
VE;18012025;F25-00742;Facture DISCOUNT VIANDE;0;1959.26;411DISC21;4110000;;05022025
VE;18012025;F25-00742;Facture DISCOUNT VIANDE;1857.12;0;;7070000;;05022025
VE;18012025;F25-00742;Facture DISCOUNT VIANDE;102.14;0;;4457151;;05022025
VE;18012025;F25-00743;Facture BM HANDEL GMBH;0;1531.61;411BMHAND;4110000;;05022025
VE;18012025;F25-00743;Facture BM HANDEL GMBH;1531.61;0;;7079120;;05022025
VE;18012025;F25-00744;Facture LE SAPHIR DORNACH MULHOUSE;0;7891.57;411SAPDOR;4110000;;05022025
VE;18012025;F25-00744;Facture LE SAPHIR DORNACH MULHOUSE;7480.16;0;;7070000;;05022025
VE;18012025;F25-00744;Facture LE SAPHIR DORNACH MULHOUSE;411.41;0;;4457151;;05022025
VE;18012025;F25-00745;Facture CFMO BOUCHERIE (SAUSHEIM);0;911.84;411CFMO68;4110000;;05022025
VE;18012025;F25-00745;Facture CFMO BOUCHERIE (SAUSHEIM);864.3;0;;7070000;;05022025
VE;18012025;F25-00745;Facture CFMO BOUCHERIE (SAUSHEIM);47.54;0;;4457151;;05022025
VE;18012025;F25-00746;Facture PRO INTER (HAGUENAU);0;585.31;411PRO995;4110000;;05022025
VE;18012025;F25-00746;Facture PRO INTER (HAGUENAU);554.8;0;;7070000;;05022025
VE;18012025;F25-00746;Facture PRO INTER (HAGUENAU);30.51;0;;4457151;;05022025
VE;18012025;F25-00747;Facture L'ORIENTALYS;0;897.86;411ORIE57;4110000;;05022025
VE;18012025;F25-00747;Facture L'ORIENTALYS;851.05;0;;7070000;;05022025
VE;18012025;F25-00747;Facture L'ORIENTALYS;46.81;0;;4457151;;05022025
VE;18012025;F25-00748;Facture SUPERMARCHE DU HEYDEN;0;455.68;411HEYDEN;4110000;;02022025
VE;18012025;F25-00748;Facture SUPERMARCHE DU HEYDEN;431.92;0;;7070000;;02022025
VE;18012025;F25-00748;Facture SUPERMARCHE DU HEYDEN;23.76;0;;4457151;;02022025
VE;18012025;F25-00749;Facture PROSAR DISTRIBUTION;0;4355.69;411PROSAR;4110000;;08022025
VE;18012025;F25-00749;Facture PROSAR DISTRIBUTION;4128.62;0;;7070000;;08022025
VE;18012025;F25-00749;Facture PROSAR DISTRIBUTION;227.07;0;;4457151;;08022025
VE;18012025;F25-00750;Facture BOUCHERIE CENTRALE;0;1125.1;411001045;4110000;;05022025
VE;18012025;F25-00750;Facture BOUCHERIE CENTRALE;1066.45;0;;7070000;;05022025
VE;18012025;F25-00750;Facture BOUCHERIE CENTRALE;58.65;0;;4457151;;05022025
VE;18012025;F25-00751;Facture LAKTAF ET FILS SARL;0;2277.75;411LAKTAF;4110000;;05022025
VE;18012025;F25-00751;Facture LAKTAF ET FILS SARL;2159;0;;7070000;;05022025
VE;18012025;F25-00751;Facture LAKTAF ET FILS SARL;118.75;0;;4457151;;05022025
VE;18012025;F25-00752;Facture ESSAADA BOUCHERIE SAINT LOUIS;0;3040.88;411ESAADA;4110000;;05022025
VE;18012025;F25-00752;Facture ESSAADA BOUCHERIE SAINT LOUIS;2882.35;0;;7070000;;05022025
VE;18012025;F25-00752;Facture ESSAADA BOUCHERIE SAINT LOUIS;158.53;0;;4457151;;05022025
VE;18012025;F25-00753;Facture NADO BOUCHERIE;0;1284.17;411NADO68;4110000;;05022025
VE;18012025;F25-00753;Facture NADO BOUCHERIE;1217.22;0;;7070000;;05022025
VE;18012025;F25-00753;Facture NADO BOUCHERIE;66.95;0;;4457151;;05022025
VE;18012025;F25-00754;Facture JULIANO;0;8220.51;411JULIANO;4110000;;02022025
VE;18012025;F25-00754;Facture JULIANO;7791.95;0;;7070000;;02022025
VE;18012025;F25-00754;Facture JULIANO;428.56;0;;4457151;;02022025
VE;18012025;F25-00755;Facture ETS RENE KOCH & FILS SA;0;3185.57;411KOCH;4110000;;02022025
VE;18012025;F25-00755;Facture ETS RENE KOCH & FILS SA;3019.5;0;;7070000;;02022025
VE;18012025;F25-00755;Facture ETS RENE KOCH & FILS SA;166.07;0;;4457151;;02022025
VE;18012025;F25-00756;Facture BM SAS BOUCHERIE FORBACH;0;5424.59;411BMBOUCH;4110000;;18012025
VE;18012025;F25-00756;Facture BM SAS BOUCHERIE FORBACH;5141.79;0;;7070000;;18012025
VE;18012025;F25-00756;Facture BM SAS BOUCHERIE FORBACH;282.8;0;;4457151;;18012025
VE;18012025;F25-00757;Facture SAS ETOILE BOUCHERIE HALAL;0;1874.28;411001155;4110000;;05022025
VE;18012025;F25-00757;Facture SAS ETOILE BOUCHERIE HALAL;1776.57;0;;7070000;;05022025
VE;18012025;F25-00757;Facture SAS ETOILE BOUCHERIE HALAL;97.71;0;;4457151;;05022025
VE;18012025;F25-00758;Facture LA LIMOUSINE 90 (AU BON ACCUEIL);0;5011.53;411LIMOU;4110000;;30012025
VE;18012025;F25-00758;Facture LA LIMOUSINE 90 (AU BON ACCUEIL);4750.27;0;;7070000;;30012025
VE;18012025;F25-00758;Facture LA LIMOUSINE 90 (AU BON ACCUEIL);261.26;0;;4457151;;30012025
VE;18012025;F25-00759;Facture QUATRE SAISONS;0;1047.79;411QUATRE;4110000;;18012025
VE;18012025;F25-00759;Facture QUATRE SAISONS;993.17;0;;7070000;;18012025
VE;18012025;F25-00759;Facture QUATRE SAISONS;54.62;0;;4457151;;18012025
VE;18012025;F25-00760;Facture CLIENT DE PASSAGE;0;1758;411001185;4110000;;05022025
VE;18012025;F25-00760;Facture CLIENT DE PASSAGE;1666.35;0;;7070000;;05022025
VE;18012025;F25-00760;Facture CLIENT DE PASSAGE;91.65;0;;4457151;;05022025
VE;18012025;F25-00761;Facture DOGANAY handels-lebensmittel NEUENBURG;0;3680.06;411DOGA79;4110000;;05022025
VE;18012025;F25-00761;Facture DOGANAY handels-lebensmittel NEUENBURG;3638.06;0;;7079120;;05022025
VE;18012025;F25-00761;Facture DOGANAY handels-lebensmittel NEUENBURG;42;0;;7079130;;05022025
VE;18012025;F25-00762;Facture MINASIRSARL;0;251.09;411MINASIR;4110000;;05022025
VE;18012025;F25-00762;Facture MINASIRSARL;238;0;;7070000;;05022025
VE;18012025;F25-00762;Facture MINASIRSARL;13.09;0;;4457151;;05022025
VE;18012025;F25-00763;Facture BOUCHERIE DU BOULEVARD;0;444.52;411BOULEV;4110000;;08022025
VE;18012025;F25-00763;Facture BOUCHERIE DU BOULEVARD;421.35;0;;7070000;;08022025
VE;18012025;F25-00763;Facture BOUCHERIE DU BOULEVARD;23.17;0;;4457151;;08022025
VE;18012025;F25-00764;Facture AUX SAVEURS DE LA ROTISSERIE;0;917.34;411AUX006;4110000;;05022025
VE;18012025;F25-00764;Facture AUX SAVEURS DE LA ROTISSERIE;869.52;0;;7070000;;05022025
VE;18012025;F25-00764;Facture AUX SAVEURS DE LA ROTISSERIE;47.82;0;;4457151;;05022025
VE;18012025;F25-00765;Facture LE LION - FAMILY MARKET;0;1355.71;411LELION;4110000;;05022025
VE;18012025;F25-00765;Facture LE LION - FAMILY MARKET;1285.03;0;;7070000;;05022025
VE;18012025;F25-00765;Facture LE LION - FAMILY MARKET;70.68;0;;4457151;;05022025
VE;18012025;F25-00766;Facture ESPACE MARJANE;0;993.77;411001397;4110000;;05022025
VE;18012025;F25-00766;Facture ESPACE MARJANE;941.96;0;;7070000;;05022025
VE;18012025;F25-00766;Facture ESPACE MARJANE;51.81;0;;4457151;;05022025
VE;18012025;F25-00767;Facture SEYIT MARKET GMBH;0;6018.87;411001419;4110000;;18012025
VE;18012025;F25-00767;Facture SEYIT MARKET GMBH;6018.87;0;;7079120;;18012025
VE;18012025;F25-00768;Facture LE REGAL - MEZEM MARKET;0;4232.82;411REGAL68;4110000;;28042025
VE;18012025;F25-00768;Facture LE REGAL - MEZEM MARKET;4012.15;0;;7070000;;28042025
VE;18012025;F25-00768;Facture LE REGAL - MEZEM MARKET;220.67;0;;4457151;;28042025
VE;18012025;F25-00769;Facture LE COEUR DIJONNAIS;0;732.22;411COEUR21;4110000;;05022025
VE;18012025;F25-00769;Facture LE COEUR DIJONNAIS;694.05;0;;7070000;;05022025
VE;18012025;F25-00769;Facture LE COEUR DIJONNAIS;38.17;0;;4457151;;05022025
VE;18012025;F25-00770;Facture BOUCHERIE WALILI;0;12017.91;411WALILI;4110000;;05022025
VE;18012025;F25-00770;Facture BOUCHERIE WALILI;11391.38;0;;7070000;;05022025
VE;18012025;F25-00770;Facture BOUCHERIE WALILI;626.53;0;;4457151;;05022025
VE;18012025;F25-00771;Facture BOUCHERIE BDA;0;1204.11;411BDA25;4110000;;05022025
VE;18012025;F25-00771;Facture BOUCHERIE BDA;1141.34;0;;7070000;;05022025
VE;18012025;F25-00771;Facture BOUCHERIE BDA;62.77;0;;4457151;;05022025
VE;18012025;F25-00772;Facture SARL DJAMAA  ALI;0;1828.39;411DJAMAA;4110000;;08022025
VE;18012025;F25-00772;Facture SARL DJAMAA  ALI;1733.07;0;;7070000;;08022025
VE;18012025;F25-00772;Facture SARL DJAMAA  ALI;95.32;0;;4457151;;08022025
VE;18012025;F25-00773;Facture ALIMENTATION PROVIANDE;0;839.85;411ALIMPRO68;4110000;;05022025
VE;18012025;F25-00773;Facture ALIMENTATION PROVIANDE;796.07;0;;7070000;;05022025
VE;18012025;F25-00773;Facture ALIMENTATION PROVIANDE;43.78;0;;4457151;;05022025
VE;18012025;F25-00774;Facture ALIMENTATION GENERALE BOUCHERIE;0;1707.2;411ALIMGEN68;4110000;;05022025
VE;18012025;F25-00774;Facture ALIMENTATION GENERALE BOUCHERIE;1618.2;0;;7070000;;05022025
VE;18012025;F25-00774;Facture ALIMENTATION GENERALE BOUCHERIE;89;0;;4457151;;05022025
VE;18012025;F25-00775;Facture ASAFA;0;3470.11;411ASAFA68;4110000;;05022025
VE;18012025;F25-00775;Facture ASAFA;3289.2;0;;7070000;;05022025
VE;18012025;F25-00775;Facture ASAFA;180.91;0;;4457151;;05022025
